[19:48]: Collected image: datasets\User.1.29.jpg
[19:48]: Collected image: datasets\User.1.30.jpg
[19:48]: Collected image: datasets\User.1.31.jpg
[19:48]: Collected image: datasets\User.1.32.jpg
[19:48]: Collected image: datasets\User.1.33.jpg
[19:48]: Collected image: datasets\User.1.34.jpg
[19:48]: Collected image: datasets\User.1.35.jpg
[19:48]: Collected image: datasets\User.1.36.jpg
[19:48]: Collected image: datasets\User.1.37.jpg
[19:48]: Collected image: datasets\User.1.38.jpg
[19:48]: Collected image: datasets\User.1.39.jpg
[19:48]: Collected image: datasets\User.1.40.jpg
[19:48]: Collected image: datasets\User.1.41.jpg
[19:48]: Collected image: datasets\User.1.42.jpg
[19:48]: Collected image: datasets\User.1.43.jpg
[19:48]: Collected image: datasets\User.1.44.jpg
[19:48]: Collected image: datasets\User.1.45.jpg
[19:48]: Collected image: datasets\User.1.46.jpg
[19:48]: Collected image: datasets\User.1.47.jpg
[19:48]: Collected image: datasets\User.1.48.jpg
[19:48]: Collected image: datasets\User.1.49.jpg
[19:48]: Collected image: datasets\User.1.50.jpg
[19:48]: Collected image: datasets\User.1.51.jpg
[19:48]: Collected image: datasets\User.1.52.jpg
[19:48]: Collected image: datasets\User.1.53.jpg
[19:48]: Collected image: datasets\User.1.54.jpg
[19:48]: Collected image: datasets\User.1.55.jpg
[19:48]: Collected image: datasets\User.1.56.jpg
[19:48]: Collected image: datasets\User.1.57.jpg
[19:48]: Collected image: datasets\User.1.58.jpg
[19:48]: Collected image: datasets\User.1.59.jpg
[19:48]: Collected image: datasets\User.1.60.jpg
[19:48]: Collected image: datasets\User.1.61.jpg
[19:48]: Collected image: datasets\User.1.62.jpg
[19:48]: Collected image: datasets\User.1.63.jpg
[19:48]: Collected image: datasets\User.1.64.jpg
[19:48]: Collected image: datasets\User.1.65.jpg
[19:48]: Collected image: datasets\User.1.66.jpg
[19:48]: Collected image: datasets\User.1.67.jpg
[19:48]: Collected image: datasets\User.1.68.jpg
[19:48]: Motion Detected
[19:48]: Collected image: datasets\User.1.69.jpg
[19:48]: Collected image: datasets\User.1.70.jpg
[19:48]: Collected image: datasets\User.1.71.jpg
[19:49]: Collected image: datasets\User.1.72.jpg
[19:49]: Collected image: datasets\User.1.73.jpg
[19:49]: Collected image: datasets\User.1.74.jpg
[19:49]: Collected image: datasets\User.1.75.jpg
[19:49]: Collected image: datasets\User.1.76.jpg
[19:49]: Collected image: datasets\User.1.77.jpg
[19:49]: Collected image: datasets\User.1.78.jpg
[19:49]: Collected image: datasets\User.1.79.jpg
[19:49]: Collected image: datasets\User.1.80.jpg
[19:49]: Collected image: datasets\User.1.81.jpg
[19:49]: Collected image: datasets\User.1.82.jpg
[19:49]: Collected image: datasets\User.1.83.jpg
[19:49]: Collected image: datasets\User.1.84.jpg
[19:49]: Collected image: datasets\User.1.85.jpg
[19:49]: Collected image: datasets\User.1.86.jpg
[19:49]: Collected image: datasets\User.1.87.jpg
[19:49]: Collected image: datasets\User.1.88.jpg
[19:49]: Collected image: datasets\User.1.89.jpg
[19:49]: Collected image: datasets\User.1.90.jpg
[19:49]: Collected image: datasets\User.1.91.jpg
[19:49]: Collected image: datasets\User.1.92.jpg
[19:49]: Collected image: datasets\User.1.93.jpg
[19:49]: Collected image: datasets\User.1.94.jpg
[19:49]: Collected image: datasets\User.1.95.jpg
[19:49]: Collected image: datasets\User.1.96.jpg
[19:49]: Collected image: datasets\User.1.97.jpg
[19:49]: Collected image: datasets\User.1.98.jpg
[19:49]: Collected image: datasets\User.1.99.jpg
[19:49]: Collected image: datasets\User.1.100.jpg
[19:49]: Finished collecting faces for ID: 1, Name: Charles
[19:49]: Motion Detected
[19:49]: Training completed successfully
[19:49]: Motion Detected
[19:49]: Face Detected: Charles
[19:49]: Face Detected: Unknown
[19:49]: Motion Detected
[19:49]: Face Detected: Charles
[19:49]: Motion Detected
[19:49]: Face Detected: Unknown
[19:50]: Deleted user ID: 1, Name: Charles
[19:50]: Trainer.yml deleted
[19:50]: Insufficient data for training. Need at least two samples.
[19:50]: Motion Detected
[19:50]: Collected image: datasets\User.1.1.jpg
[19:50]: Collected image: datasets\User.1.2.jpg
[19:50]: Collected image: datasets\User.1.3.jpg
[19:50]: Collected image: datasets\User.1.4.jpg
[19:50]: Collected image: datasets\User.1.5.jpg
[19:50]: Collected image: datasets\User.1.6.jpg
[19:50]: Collected image: datasets\User.1.7.jpg
[19:50]: Collected image: datasets\User.1.8.jpg
[19:50]: Collected image: datasets\User.1.9.jpg
[19:50]: Collected image: datasets\User.1.10.jpg
[19:50]: Collected image: datasets\User.1.11.jpg
[19:50]: Collected image: datasets\User.1.12.jpg
[19:50]: Collected image: datasets\User.1.13.jpg
[19:50]: Collected image: datasets\User.1.14.jpg
[19:50]: Collected image: datasets\User.1.15.jpg
[19:50]: Collected image: datasets\User.1.16.jpg
[19:50]: Collected image: datasets\User.1.17.jpg
[19:50]: Collected image: datasets\User.1.18.jpg
[19:50]: Collected image: datasets\User.1.19.jpg
[19:50]: Collected image: datasets\User.1.20.jpg
[19:50]: Collected image: datasets\User.1.21.jpg
[19:50]: Collected image: datasets\User.1.22.jpg
[19:50]: Collected image: datasets\User.1.23.jpg
[19:50]: Collected image: datasets\User.1.24.jpg
[19:50]: Collected image: datasets\User.1.25.jpg
[19:50]: Collected image: datasets\User.1.26.jpg
[19:50]: Collected image: datasets\User.1.27.jpg
[19:50]: Collected image: datasets\User.1.28.jpg
[19:50]: Collected image: datasets\User.1.29.jpg
[19:50]: Collected image: datasets\User.1.30.jpg
[19:50]: Collected image: datasets\User.1.31.jpg
[19:50]: Collected image: datasets\User.1.32.jpg
[19:50]: Collected image: datasets\User.1.33.jpg
[19:50]: Collected image: datasets\User.1.34.jpg
[19:50]: Collected image: datasets\User.1.35.jpg
[19:50]: Collected image: datasets\User.1.36.jpg
[19:50]: Collected image: datasets\User.1.37.jpg
[19:50]: Collected image: datasets\User.1.38.jpg
[19:50]: Collected image: datasets\User.1.39.jpg
[19:50]: Collected image: datasets\User.1.40.jpg
[19:50]: Collected image: datasets\User.1.41.jpg
[19:50]: Collected image: datasets\User.1.42.jpg
[19:50]: Collected image: datasets\User.1.43.jpg
[19:50]: Collected image: datasets\User.1.44.jpg
[19:50]: Collected image: datasets\User.1.45.jpg
[19:50]: Collected image: datasets\User.1.46.jpg
[19:50]: Collected image: datasets\User.1.47.jpg
[19:50]: Collected image: datasets\User.1.48.jpg
[19:50]: Collected image: datasets\User.1.49.jpg
[19:50]: Collected image: datasets\User.1.50.jpg
[19:50]: Collected image: datasets\User.1.51.jpg
[19:50]: Collected image: datasets\User.1.52.jpg
[19:50]: Collected image: datasets\User.1.53.jpg
[19:50]: Collected image: datasets\User.1.54.jpg
[19:50]: Collected image: datasets\User.1.55.jpg
[19:50]: Collected image: datasets\User.1.56.jpg
[19:50]: Collected image: datasets\User.1.57.jpg
[19:50]: Collected image: datasets\User.1.58.jpg
[19:50]: Collected image: datasets\User.1.59.jpg
[19:50]: Collected image: datasets\User.1.60.jpg
[19:50]: Collected image: datasets\User.1.61.jpg
[19:50]: Collected image: datasets\User.1.62.jpg
[19:50]: Collected image: datasets\User.1.63.jpg
[19:50]: Collected image: datasets\User.1.64.jpg
[19:50]: Collected image: datasets\User.1.65.jpg
[19:50]: Collected image: datasets\User.1.66.jpg
[19:50]: Collected image: datasets\User.1.67.jpg
[19:50]: Collected image: datasets\User.1.68.jpg
[19:50]: Collected image: datasets\User.1.69.jpg
[19:50]: Collected image: datasets\User.1.70.jpg
[19:50]: Collected image: datasets\User.1.71.jpg
[19:50]: Collected image: datasets\User.1.72.jpg
[19:50]: Collected image: datasets\User.1.73.jpg
[19:50]: Collected image: datasets\User.1.74.jpg
[19:50]: Collected image: datasets\User.1.75.jpg
[19:50]: Collected image: datasets\User.1.76.jpg
[19:50]: Collected image: datasets\User.1.77.jpg
[19:50]: Collected image: datasets\User.1.78.jpg
[19:50]: Collected image: datasets\User.1.79.jpg
[19:50]: Collected image: datasets\User.1.80.jpg
[19:50]: Collected image: datasets\User.1.81.jpg
[19:50]: Collected image: datasets\User.1.82.jpg
[19:50]: Collected image: datasets\User.1.83.jpg
[19:50]: Collected image: datasets\User.1.84.jpg
[19:50]: Collected image: datasets\User.1.85.jpg
[19:50]: Collected image: datasets\User.1.86.jpg
[19:50]: Collected image: datasets\User.1.87.jpg
[19:50]: Collected image: datasets\User.1.88.jpg
[19:50]: Collected image: datasets\User.1.89.jpg
[19:50]: Collected image: datasets\User.1.90.jpg
[19:50]: Collected image: datasets\User.1.91.jpg
[19:50]: Collected image: datasets\User.1.92.jpg
[19:50]: Collected image: datasets\User.1.93.jpg
[19:50]: Collected image: datasets\User.1.94.jpg
[19:50]: Collected image: datasets\User.1.95.jpg
[19:50]: Collected image: datasets\User.1.96.jpg
[19:50]: Collected image: datasets\User.1.97.jpg
[19:50]: Collected image: datasets\User.1.98.jpg
[19:50]: Collected image: datasets\User.1.99.jpg
[19:50]: Collected image: datasets\User.1.100.jpg
[19:50]: Finished collecting faces for ID: 1, Name: Charles 
[19:50]: Training completed successfully
[19:50]: Motion Detected
[19:50]: Face Detected: Charles
[19:50]: Face Detected: Unknown
[19:50]: Motion Detected
[19:50]: Face Detected: Charles
[19:50]: Failed to send email: (421, b'4.3.0 Temporary System Problem. Try again later (10). For more information,\n4.3.0 go to\n4.3.0  https://support.google.com/a/answer/3221692 d9443c01a7336-1f855f1b146sm115063125ad.244 - gsmtp')
[19:50]: Failed to send email: (421, b'4.3.0 Temporary System Problem. Try again later (10). For more information,\n4.3.0 go to\n4.3.0  https://support.google.com/a/answer/3221692 41be03b00d2f7-6fedf3a34ddsm8153514a12.48 - gsmtp')
[19:51]: Motion Detected
[19:51]: Motion Detected
[19:52]: Motion Detected
[19:52]: Motion Detected
[19:52]: Motion Detected
[19:52]: Face Detected: Charles
[19:52]: Motion Detected
[19:52]: Face Detected: Charles
[19:52]: Face Detected: Unknown
[19:52]: Face Detected: Charles
[19:52]: Motion Detected
[19:53]: Face Detected: Charles
[19:53]: Motion Detected
[19:53]: Face Detected: Charles
[19:53]: Motion Detected
[19:53]: Face Detected: Charles
[19:53]: Motion Detected
[19:53]: Face Detected: Charles
[19:53]: Face Detected: Charles
[19:53]: Face Detected: Unknown
[19:53]: Motion Detected
[19:53]: Face Detected: Charles
[19:54]: Face Detected: Unknown
[19:54]: Face Detected: Charles
[19:54]: Motion Detected
[19:54]: Face Detected: Charles
[19:54]: Motion Detected
[19:54]: Face Detected: Unknown
[19:54]: Face Detected: Charles
[19:54]: Motion Detected
[19:54]: Face Detected: Charles
[19:54]: Motion Detected
[19:54]: Face Detected: Unknown
[19:54]: Face Detected: Charles
[19:54]: Motion Detected
[19:54]: Face Detected: Charles
[19:54]: Motion Detected
[19:55]: Face Detected: Charles
[19:55]: Face Detected: Charles
[19:55]: Motion Detected
[19:55]: Face Detected: Charles
[19:55]: Face Detected: Charles
[19:55]: Motion Detected
[19:55]: Face Detected: Charles
[19:55]: Motion Detected
[19:55]: Face Detected: Charles
[19:56]: Motion Detected
[19:56]: Face Detected: Charles
[19:56]: Motion Detected
[19:56]: Face Detected: Charles
[19:56]: Motion Detected
[19:56]: Face Detected: Charles
[19:56]: Motion Detected
[19:56]: Face Detected: Charles
[19:56]: Face Detected: Unknown
[19:56]: Motion Detected
[19:56]: Face Detected: Charles
[19:56]: Motion Detected
[19:57]: Face Detected: Charles
[19:57]: Motion Detected
[19:57]: Face Detected: Unknown
[19:57]: Face Detected: Charles
[19:57]: Motion Detected
[19:57]: Face Detected: Charles
[19:57]: Motion Detected
[19:57]: Face Detected: Charles
[19:57]: Motion Detected
[19:57]: Face Detected: Charles
[19:57]: Motion Detected
[19:57]: Face Detected: Unknown
[19:58]: Face Detected: Charles
[19:58]: Motion Detected
[19:58]: Motion Detected
[19:58]: Face Detected: Charles
[19:58]: Face Detected: Unknown
[19:58]: Deleted user ID: 1, Name: Charles
[19:58]: Trainer.yml deleted
[19:58]: Insufficient data for training. Need at least two samples.
[19:58]: Motion Detected
[19:58]: Insufficient data for training. Need at least two samples.
[19:58]: Motion Detected
[19:58]: Collected image: datasets\User.1.1.jpg
[19:58]: Collected image: datasets\User.1.2.jpg
[19:58]: Collected image: datasets\User.1.3.jpg
[19:58]: Collected image: datasets\User.1.4.jpg
[19:58]: Collected image: datasets\User.1.5.jpg
[19:58]: Collected image: datasets\User.1.6.jpg
[19:58]: Collected image: datasets\User.1.7.jpg
